region,provincia,distrito,codigo_del_recurso,nombre_del_recurso,categoria,tipo_de_categoria,sub_tipo_categoria,url,latitud,longitud,fecha_de_corte
Cusco,Cusco,Cusco,11,Festividad Del Señor De Los Temblores,5. Acontecimientos Programados,Fiestas,Fiestas Religiosas-Patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11,-71.9801,-13.5153,2025-10-13
Cajamarca,Contumaza,Yonan,16,Petroglifos De Yonan,2. Manifestaciones Culturales,Sitios Arqueologicos,Petroglifos (Grabados En Piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=16,-79.130786,-7.2531078579146415,2025-10-13
Amazonas,Chachapoyas,Levanto,17,Sitio Arqueológico De Collacruz,2. Manifestaciones Culturales,Sitios Arqueologicos,Zonas Arqueologicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=17,-77.90701353525948,-6.310457893297969,2025-10-13
Huanuco,Lauricocha,Queropalca,24,Nevado De Yerupajá De Queropalca,1. Sitios Naturales,A. Montanas,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=24,-76.90523484,-10.26842392998,2025-10-13
Huanuco,Lauricocha,Queropalca,25,Cordillera Huayhuash - Huánuco,1. Sitios Naturales,A. Montanas,Cordillera,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=25,-76.88232421875,-10.21221925,2025-10-13
Apurimac,Aymaraes,Caraybamba,29,Andenerías De Caraybamba ,2. Manifestaciones Culturales,Sitios Arqueologicos,Andenes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=29,-73.146075710874,-14.3795384092317,2025-10-13
Apurimac,Cotabambas,Challhuahuacho,30, Sitio Arqueológico De Marcapuchungo,2. Manifestaciones Culturales,Sitios Arqueologicos,Zonas Arqueologicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=30,-72.24641025066376,-14.118602157492754,2025-10-13
Apurimac,Abancay,Abancay,31,Puente Colonial Pachachaca,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Puentes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=31,-72.93724536895,-13.66304310483,2025-10-13
Apurimac,Abancay,Curahuasi,32,Templo Santa Catalina De Curahuasi,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=32,-72.6959277777778,-13.542775,2025-10-13
Apurimac,Aymaraes,Chalhuanca,33,Templo De Chuquinga,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=33,-73.2564220017,-14.29133333333,2025-10-13
Apurimac,Chincheros,Cocharcas,34,Templo Colonial De Cocharcas,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=34,-73.73803403439331,-13.611938030618076,2025-10-13
Apurimac,Aymaraes,Chalhuanca,36,Baños Termales De Pincahuacho,1. Sitios Naturales,K. Agua Termo-Mineral,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=36,-73.276745,-14.283773,2025-10-13
Ica,Pisco,Humay,37,Centro Administrativo Tambo Colorado,2. Manifestaciones Culturales,Sitios Arqueologicos,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=37,-75.82944777203284,-13.705141030751882,2025-10-13
