nombre_de_servicio_turistico,identificador_de_clasificacion,clasificacion,identificador_de_categoria,categoria,identificador_de_subcategoria,subcategoria,direccion,correo_electronico,sitio_web,telefono,codigo_de_departamento,codigo_de_provincia,codigo_de_distrito,nombre_de_departamento,nombre_de_provincia,nombre_de_distrito,ruc,siglas,nombre_de_empresa,fecha_de_registro_de_empresa,fecha_actualizacion_datos_de_empresa
Restaurante La Rosa Nautica,2202,Alimentos Y Bebidas,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Via Costa Verde - Espigon 4 Circuito De Playas,turismo@larosanautica.com,www.larosanautica.com,01 4470057,15,01,22,Lima,Lima,Miraflores,20111035378,Restaurante La Rosa Nautica,La Rosa Nautica S.A.,1997-07-15,2025-01-29
Restaurante La Rosa Nautica,2202,Alimentos Y Bebidas,220223,Restaurante 5 Tenedores Turistico,220223,Restaurante 5 Tenedores Turistico,Via Costa Verde - Espigon 4 Circuito De Playas,turismo@larosanautica.com,www.larosanautica.com,01 4450149,15,01,22,Lima,Lima,Miraflores,20111035378,Restaurante La Rosa Nautica,La Rosa Nautica S.A.,1997-07-15,2025-01-29
Aeropuerto Cap. Fap Carlos Martinez Pinillos,2203,Transporte,220307,Terminales,22030701,Aeropuertos,Av. Aviacion S/N Huanchaco,maria.cipriano@adp.com.pe,www.adp.com.pe,044 464224,13,01,04,La Libertad,Trujillo,Huanchaco,20514513172,Aeropuerto Cap. Fap Carlos Martinez Pinillos,Aeropuertos Del Peru S.A. (Trujillo),1997-08-28,2025-01-24
Tumi Tours,2205,Agencias De Viajes Y Turismo,220502,Agencias Minoristas,220502,Agencias Minoristas,Cl. Cristobal Colon 599 (Exclusivamente Digital),tumitoursperu@hotmail.com,www.tumitours.com,979726733,14,01,01,Lambayeque,Chiclayo,Chiclayo,20103694796,Tumi Tours,Tumi Tours S.A.C.,1998-05-05,2025-01-17
Los Portales De Piura,2201,Establecimientos De Hospedaje,220101,Hoteles,22010102,H.4 Estrellas,Cl. Libertad 875,reservas@losportales.com.pe    losportaleseventos@losportales.com.pe,www.losportaleshoteles.com.pe,073 328783  119,20,01,01,Piura,Piura,Piura,20301837896,Los Portales De Piura,Los Portales S.A.,1999-01-06,2025-01-04
Sixt Rent A Car,2203,Transporte,220301,Terrestre,22030104,Alquiler De Autos,Cl. Cantuarias 341,johanna.llanca@sixt.com.pe    reservaciones@sixt.com.pe,https://www.sixt.com/car-rental/peru/,01 4443050,15,01,22,Lima,Lima,Miraflores,20347721779,Sixt Rent A Car,Mc Laren S.A.C.,1999-10-20,2025-01-04
Sixt Rent A Car,2203,Transporte,220301,Terrestre,22030104,Alquiler De Autos,Av. Corpac 247 (A Una Cuadra Del Aeropuerto De Piura),samuel.cova@sixt.com.pe    reservations.piura@sixt.com.pe,https://www.sixt.com/car-rental/peru/,957268108,20,01,04,Piura,Piura,Castilla,20347721779,Sixt Rent A Car,Mc Laren S.A.C.,1999-10-20,2025-01-04
Sixt Rent A Car,2203,Transporte,220301,Terrestre,22030104,Alquiler De Autos,"Avenida Aviacion 662, Tarapoto (Sala De Llegadas - Aeropuerto De Tarapoto)",giancarlo.arevalo@sixt.com.pe,https://www.sixt.com/car-rental/peru/,924160638,22,09,01,San Martin,San Martin,Tarapoto,20347721779,Sixt Rent A Car,Mc Laren S.A.C.,1999-10-20,2025-01-04
Explorandes,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Av. Interoceanica 1117,veronica@explorandes.com    ophuaraz@explorandes.com,www.explorandes.com,943820925,02,01,01,Ancash,Huaraz,Huaraz,20110044667,Explorandes,Explorandes S.A.C.,1999-12-15,2025-01-22
Ecoinka,2205,Agencias De Viajes Y Turismo,220502,Agencias Minoristas,220502,Agencias Minoristas,Comunidad Campesina Piscacucho S/N Km 82 De La Via Ferrea Cusco - Machupicchu,booking@ecoinka.com,www.ecoinka.com,995709478,08,13,06,Cusco,Urubamba,Ollantaytambo,20464624679,Ecoinka,Ecoinka S.R.L,2000-06-08,2025-01-30
Sas Travel,2205,Agencias De Viajes Y Turismo,220502,Agencias Minoristas,220502,Agencias Minoristas,Cl. Garcilaso 270,info@sastravelperu.com    reservas@sastravelperu.com,www.sastravelperu.com,984652232,08,01,01,Cusco,Cusco,Cusco,20490098951,Sas Travel,Adventours Sas E.I.R.L.,2000-06-15,2025-01-22
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Del Ejercito No 285,nan,www.civa.com.pe,044 251402,13,01,01,La Libertad,Trujillo,Trujillo,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
