anp,sector,departamento,provincia,distrito,ubigeo,procedencia,edad,fecha,visitas_e1,visitas_e2a3,visitas_e3a30,fecha_corte
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Extranjero,Adulto,2023-02-28,8,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Extranjero,Adulto,2023-03-31,12,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Extranjero,Adulto,2023-04-30,23,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Extranjero,Adulto,2023-05-31,3,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Extranjero,Adulto,2023-06-30,17,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Extranjero,Adulto,2023-07-31,12,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Extranjero,Adulto,2023-08-31,13,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Extranjero,Adulto,2023-10-31,14,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2023-07-31,199,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto Mayor,2023-07-31,13,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Local,Infante,2023-07-31,25,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Local,Menor,2023-07-31,56,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2023-04-30,1,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2023-05-31,2,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2023-06-30,1,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2023-08-31,5,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2023-10-31,3,0,0,2024-05-27
Bp Alto Mayo,Ruta De Las Aves,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto Mayor,2023-03-31,3,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Extranjero,Adulto,2023-10-31,5,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2022-04-30,30,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2022-05-31,22,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2022-06-30,18,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2023-01-31,6,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2023-02-28,5,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2023-05-31,8,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2023-06-30,21,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2023-07-31,59,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2023-09-30,36,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2023-10-31,24,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Menor,2022-04-30,5,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Local,Menor,2022-06-30,16,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2022-01-31,63,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2022-02-28,39,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2022-03-31,25,0,0,2024-05-27
Bp Alto Mayo,Urcuchaqui,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2023-08-31,23,0,0,2024-05-27
Bp Alto Mayo,Nan,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2022-07-31,18,0,0,2024-05-27
Bp Alto Mayo,Nan,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2022-08-31,24,0,0,2024-05-27
Bp Alto Mayo,Nan,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2022-09-30,19,0,0,2024-05-27
Bp Alto Mayo,Nan,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2022-10-31,65,0,0,2024-05-27
Bp Alto Mayo,Nan,San Martin,Rioja,Pardo Miguel,220805.0,Local,Adulto,2022-12-31,18,0,0,2024-05-27
Bp Alto Mayo,Nan,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2022-10-31,2,0,0,2024-05-27
Bp Alto Mayo,Nan,San Martin,Rioja,Pardo Miguel,220805.0,Nacional,Adulto,2022-11-30,20,0,0,2024-05-27
Pn Bahuaja-Sonene,Heath,Puno,Sandia,San Pedro De Putina Punco,211210.0,Nacional,Adulto,2022-01-31,5,0,0,2024-05-27
Pn Cordillera Azul,Nan,Loreto,Ucayali,Pampa Hermosa,160604.0,Extranjero,Adulto,2023-01-31,1,0,0,2024-05-27
Pn Cordillera Azul,Nan,Loreto,Ucayali,Pampa Hermosa,160604.0,Extranjero,Adulto,2023-06-30,0,81,8,2024-05-27
