anp,departamento,total_visitas
Rn De Paracas,Ica,1156174
Sh De La Pampa De Ayacucho,Ayacucho,440338
Pn Huascaran,Ancash,415898
Pn De Tingo Maria,Huanuco,286763
Sh Machupicchu,Cusco,286648
Rp Nor Yauyos-Cochas,Lima,170273
Rn Tambopata,Madre De Dios,134257
Sn De Huayllay,Pasco,99306
Rvs Los Pantanos De Villa,Lima,87512
Rn De Lachay,Lima,66014
Rn Pacaya-Samiria,Loreto,22884
Sh Bosque De Pomac,Lambayeque,20966
Zr Sierra Del Divisor,Ucayali,16624
Pn Del Manu,Madre De Dios,14768
Rn Del Titicaca,Puno,11836
Sn De Ampay,Apurimac,8504
Sn Lagunas De Mejia,Arequipa,8218
Sh De Chacamarca,Junin,7521
Pn Yanachaga-Chemillen,Pasco,7025
Sn Los Manglares De Tumbes,Tumbes,5202
Rn Allpahuayo Mishana,Loreto,2237
Rn Pampa Galeras Barbara D' Achille,Ayacucho,2089
Pn Del Rio Abiseo,San Martin,2011
Rn San Fernando,Ica,1430
Pn De Cutervo,Cajamarca,1090
Bp Alto Mayo,San Martin,981
Rn De Salinas Y Aguada Blanca,Arequipa,815
Sn De Calipuy,La Libertad,815
Sn Pampa Hermosa,Junin,432
Rvs Laquipampa,Lambayeque,176
Rn De Junin,Junin,152
Pn Cordillera Azul,Loreto,127
Sn Tabaconas-Namballe,Cajamarca,39
Rc Amarakaeri,Madre De Dios,15
Pn Bahuaja-Sonene,Puno,5
