region,total_recursos,total_servicios,brecha
Puno,318,1,318.0
Ayacucho,291,3,97.0
Pasco,168,2,84.0
Arequipa,325,6,54.17
Huanuco,202,4,50.5
Moquegua,148,3,49.33
Lima,798,17,46.94
Amazonas,75,2,37.5
Madre De Dios,74,2,37.0
Loreto,142,4,35.5
Tacna,71,2,35.5
Ucayali,62,2,31.0
Ica,119,5,23.8
Cajamarca,180,8,22.5
Junin,353,17,20.76
Apurimac,139,8,17.38
La Libertad,219,16,13.69
Tumbes,61,6,10.17
San Martin,124,17,7.29
Ancash,347,50,6.94
Callao,24,5,4.8
Lambayeque,186,40,4.65
Cusco,577,132,4.37
Piura,197,141,1.4
