departamento,total_visitas,total_servicios,ratio_visitas_por_servicio
Ica,12733644,5,2546728
Lima,13599558,17,799974
Ayacucho,1769708,3,589902
Ancash,28281064,50,565621
Huanuco,1433815,4,358453
Cusco,39270776,132,297505
Madre De Dios,447120,2,223560
Pasco,318993,2,159496
Loreto,100992,4,25248
Puno,23682,1,23682
Lambayeque,909106,40,22727
Ucayali,33248,2,16624
Arequipa,81297,6,13549
Junin,170205,17,10012
Apurimac,76536,8,9567
Tumbes,52020,6,8670
San Martin,65824,17,3872
Cajamarca,15806,8,1975
La Libertad,21190,16,1324
