NOMBRE DE SERVICIO TURÍSTICO;IDENTIFICADOR DE CLASIFICACIÓN;CLASIFICACIÓN;IDENTIFICADOR DE CATEGORÍA;CATEGORÍA;IDENTIFICADOR DE SUBCATEGORÍA;SUBCATEGORÍA;DIRECCIÓN;CORREO ELECTRÓNICO;SITIO WEB;TELÉFONO;CÓDIGO DE DEPARTAMENTO;CÓDIGO DE PROVINCIA;CÓDIGO DE DISTRITO;NOMBRE DE DEPARTAMENTO;NOMBRE DE PROVINCIA;NOMBRE DE DISTRITO;RUC;SIGLAS;NOMBRE DE EMPRESA;FECHA DE REGISTRO DE EMPRESA;FECHA ACTUALIZACIÓN DATOS DE EMPRESA
Restaurante La Rosa Náutica;2202;ALIMENTOS Y BEBIDAS;220203;Restaurantes Pescados & Mariscos;220203;Restaurantes Pescados & Mariscos;Vía Costa Verde - Espigón 4 Circuito de Playas  ;turismo@larosanautica.com    ;www.larosanautica.com;01 4470057 ;15;1;22;Lima;Lima;Miraflores;20111035378;Restaurante La Rosa Náutica;La Rosa Náutica S.A.;15/07/1997;29/01/2025
Restaurante La Rosa Náutica;2202;ALIMENTOS Y BEBIDAS;220223;Restaurante 5 Tenedores Turístico;220223;Restaurante 5 Tenedores Turístico;Vía Costa Verde - Espigón 4 Circuito de Playas  ;turismo@larosanautica.com    ;www.larosanautica.com;01 4450149;15;1;22;Lima;Lima;Miraflores;20111035378;Restaurante La Rosa Náutica;La Rosa Náutica S.A.;15/07/1997;29/01/2025
Aeropuerto Cap. FAP Carlos Martínez Pinillos;2203;TRANSPORTE;220307;Terminales;22030701;Aeropuertos;Av. Aviación s/n Huanchaco;maria.cipriano@adp.com.pe;www.adp.com.pe;044 464224 ;13;1;4;La Libertad;Trujillo;Huanchaco;20514513172;Aeropuerto Cap. FAP Carlos Martínez Pinillos;Aeropuertos del Perú S.A. (Trujillo);28/08/1997;24/01/2025
Tumi Tours;2205;AGENCIAS DE VIAJES Y TURISMO;220502;Agencias Minoristas;220502;Agencias Minoristas;Cl. Cristobal Colon 599 (Exclusivamente Digital) ;tumitoursperu@hotmail.com  ;www.tumitours.com;979726733;14;1;1;Lambayeque;Chiclayo;Chiclayo;20103694796;Tumi Tours;Tumi Tours S.A.C.;5/05/1998;17/01/2025
Los Portales de Piura;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010102;H.4 Estrellas;Cl. Libertad 875;reservas@losportales.com.pe    losportaleseventos@losportales.com.pe;www.losportaleshoteles.com.pe;073 328783  119;20;1;1;Piura;Piura;Piura;20301837896;Los Portales de Piura;Los Portales S.A.;6/01/1999;4/01/2025
Sixt Rent a Car;2203;TRANSPORTE;220301;Terrestre;22030104;Alquiler de autos;Cl. Cantuarias 341 ;johanna.llanca@sixt.com.pe    reservaciones@sixt.com.pe;https://www.sixt.com/car-rental/peru/;01 4443050 ;15;1;22;Lima;Lima;Miraflores;20347721779;Sixt Rent a Car;Mc Laren S.A.C.;20/10/1999;4/01/2025
Sixt Rent a Car;2203;TRANSPORTE;220301;Terrestre;22030104;Alquiler de autos;Av. Corpac 247 (a una cuadra del aeropuerto de Piura);samuel.cova@sixt.com.pe    reservations.piura@sixt.com.pe;https://www.sixt.com/car-rental/peru/;957268108;20;1;4;Piura;Piura;Castilla;20347721779;Sixt Rent a Car;Mc Laren S.A.C.;20/10/1999;4/01/2025
Sixt Rent a Car;2203;TRANSPORTE;220301;Terrestre;22030104;Alquiler de autos;Avenida Aviación 662, Tarapoto (Sala de llegadas - Aeropuerto de Tarapoto);giancarlo.arevalo@sixt.com.pe;https://www.sixt.com/car-rental/peru/;924160638;22;9;1;San Martín;San Martín;Tarapoto;20347721779;Sixt Rent a Car;Mc Laren S.A.C.;20/10/1999;4/01/2025
Explorandes;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Av. Interoceánica 1117;veronica@explorandes.com    ophuaraz@explorandes.com;www.explorandes.com;943820925;2;1;1;Áncash;Huaraz;Huaraz;20110044667;Explorandes;Explorandes S.A.C.;15/12/1999;22/01/2025
Ecoinka;2205;AGENCIAS DE VIAJES Y TURISMO;220502;Agencias Minoristas;220502;Agencias Minoristas;Comunidad Campesina Piscacucho S/N Km 82 de la vía férrea Cusco – Machupicchu;booking@ecoinka.com;www.ecoinka.com;995709478;8;13;6;Cusco;Urubamba;Ollantaytambo;20464624679;Ecoinka;Ecoinka S.R.L;8/06/2000;30/01/2025
