ANP,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,PROCEDENCIA,EDAD,FECHA,VISITAS_E1,VISITAS_E2A3,VISITAS_E3A30,FECHA_CORTE
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,EXTRANJERO,ADULTO,20230228,8,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,EXTRANJERO,ADULTO,20230331,12,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,EXTRANJERO,ADULTO,20230430,23,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,EXTRANJERO,ADULTO,20230531,3,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,EXTRANJERO,ADULTO,20230630,17,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,EXTRANJERO,ADULTO,20230731,12,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,EXTRANJERO,ADULTO,20230831,13,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,EXTRANJERO,ADULTO,20231031,14,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20230731,199,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO MAYOR,20230731,13,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,INFANTE,20230731,25,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,MENOR,20230731,56,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20230430,1,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20230531,2,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20230630,1,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20230831,5,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20231031,3,0,0,20240527
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO MAYOR,20230331,3,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,EXTRANJERO,ADULTO,20231031,5,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20220430,30,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20220531,22,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20220630,18,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20230131,6,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20230228,5,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20230531,8,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20230630,21,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20230731,59,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20230930,36,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20231031,24,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,MENOR,20220430,5,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,MENOR,20220630,16,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20220131,63,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20220228,39,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20220331,25,0,0,20240527
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20230831,23,0,0,20240527
BP Alto Mayo,,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20220731,18,0,0,20240527
BP Alto Mayo,,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20220831,24,0,0,20240527
BP Alto Mayo,,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20220930,19,0,0,20240527
BP Alto Mayo,,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20221031,65,0,0,20240527
BP Alto Mayo,,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,LOCAL,ADULTO,20221231,18,0,0,20240527
BP Alto Mayo,,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20221031,2,0,0,20240527
BP Alto Mayo,,SAN MARTIN,RIOJA,PARDO MIGUEL,220805,NACIONAL,ADULTO,20221130,20,0,0,20240527
